date,lat,lon,tasmax,GFDL-CM4,GISS-E2-1-G,BCC-CSM2-MR,BCC-ESM1,SAM0-UNICON,CanESM5,INM-CM4-8,INM-CM5-0,GFDL-ESM4,NorESM2-LM,FGOALS-g3,FGOALS-f3-L,NorESM2-MM,KIOST-ESM,TaiESM1,NorCPM1,CMCC-ESM2
1985-01-23 12:00:00,29.500000000000004,-90.625,289.8412,289.8412,290.6161,285.0622,289.3658,286.64706,292.5574,295.54446,293.34497,290.70682,286.6144,286.8384,290.53412,292.43674,289.7706,288.14722,291.71548,295.29742
1985-01-24 12:00:00,29.500000000000004,-90.625,291.94946,291.94946,286.24612,288.54526,289.34937,290.30246,292.4633,295.76535,293.6303,289.57303,292.1635,289.00427,292.45844,291.61,291.94684,288.68958,294.32568,296.0797
1985-01-25 12:00:00,29.500000000000004,-90.625,291.54404,291.54404,289.87338,282.96936,288.7049,286.46182,292.44193,295.61194,294.64316,291.66208,292.5128,290.14517,294.31317,289.43143,291.38965,291.2435,294.97787,295.43463
1985-01-26 12:00:00,29.500000000000004,-90.625,285.68735,285.68735,275.6679,277.53784,286.75098,288.6448,295.16183,295.5515,283.55658,284.09772,292.84085,288.7977,292.55603,286.18478,290.97833,291.18713,293.7218,294.83618
1985-01-27 12:00:00,29.500000000000004,-90.625,284.1691,284.1691,275.76578,274.48688,288.29688,287.196,294.66644,288.30112,286.55545,285.81854,293.6218,290.6305,288.71155,285.09927,289.47998,290.844,292.60965,281.71396
1985-01-28 12:00:00,29.500000000000004,-90.625,285.13684,285.13684,280.97412,281.99045,290.45972,283.99667,291.8083,289.7365,287.36948,289.4377,293.82947,291.08038,292.50403,284.03104,288.87842,291.32233,288.4314,276.60428
1985-01-29 12:00:00,29.500000000000004,-90.625,287.83072,287.83072,288.6262,287.8602,290.1706,287.8961,295.71976,293.02374,287.8436,291.9398,292.95013,292.03302,293.1275,284.99973,289.06165,292.2564,291.35916,275.94476
1985-01-30 12:00:00,29.500000000000004,-90.625,286.95273,286.95273,291.60913,290.76465,287.17664,289.9538,295.55,294.1869,293.6715,293.85544,291.7842,290.74954,295.6118,292.01245,285.23798,292.72678,293.92926,281.26074
1985-01-31 12:00:00,29.500000000000004,-90.625,289.98074,289.98074,291.13297,290.91998,285.44925,291.17218,290.65204,295.45828,293.52597,294.91528,293.42905,284.26135,295.53317,289.62656,287.48325,292.41885,294.56033,284.81787
1985-02-01 12:00:00,29.500000000000004,-90.625,292.9175,292.9175,288.15417,291.1749,281.95218,292.41992,290.45792,295.73038,293.86096,293.73135,294.48898,290.16086,294.14578,287.64172,290.1308,291.1707,292.98627,288.3779
1985-02-02 12:00:00,29.500000000000004,-90.625,292.0805,292.0805,285.296,291.33194,285.88254,291.17957,291.48547,287.95782,293.35428,294.47156,294.02155,290.23935,289.57504,287.0748,291.00565,291.14035,291.85962,287.51923
1985-02-03 12:00:00,29.500000000000004,-90.625,291.8919,291.8919,290.2277,287.90002,286.96103,286.82034,294.49527,287.5526,293.33618,293.4804,294.13187,287.74954,295.0563,281.37094,293.627,292.90067,290.5922,285.62616
1985-02-04 12:00:00,29.500000000000004,-90.625,293.2226,293.2226,290.99826,287.4407,289.04672,287.08325,294.96765,291.48502,291.05887,294.50595,294.39502,287.1902,288.6286,284.34827,293.33847,294.19873,291.63974,284.4699
1985-02-05 12:00:00,29.500000000000004,-90.625,293.93564,293.93564,280.93335,288.62476,290.97537,292.99307,289.88693,294.00787,293.39297,294.4387,294.69263,286.79065,291.96564,287.63608,293.64682,294.33185,292.02112,278.90878
1985-02-06 12:00:00,29.500000000000004,-90.625,294.57898,294.57898,283.27,292.2201,290.90012,287.5059,288.24335,294.3012,294.20673,295.3414,294.81522,289.6221,288.80225,289.145,293.42758,292.10992,291.10266,282.33322
1985-02-07 12:00:00,29.500000000000004,-90.625,294.2007,294.2007,292.4936,293.08307,291.1415,291.83676,291.93948,294.52878,293.55008,296.20914,294.99384,287.3451,285.98907,293.5439,293.84464,292.1375,287.91458,284.91632
1985-02-08 12:00:00,29.500000000000004,-90.625,294.49872,294.49872,291.9348,292.79446,292.05127,291.7559,294.08414,294.9461,291.51486,295.57788,293.6997,282.5413,281.4962,292.14362,292.86252,289.02997,287.10483,284.51337
1985-02-09 12:00:00,29.500000000000004,-90.625,294.39844,294.39844,281.43134,292.47,290.02625,289.9442,294.79913,295.05164,292.72366,293.9693,294.18808,276.08316,279.9731,278.93124,293.28195,284.30496,284.26288,282.8164
1985-02-10 12:00:00,29.500000000000004,-90.625,293.2023,293.2023,287.97546,292.235,290.18588,292.68417,293.92685,294.5875,293.9976,295.85422,293.46786,275.01385,283.20834,281.2867,291.33414,281.65036,280.22693,280.4729
1985-02-11 12:00:00,29.500000000000004,-90.625,290.7027,290.7027,291.82892,293.76187,286.984,294.96115,293.84467,295.44543,293.4048,294.18613,287.52954,281.3032,291.23193,291.14648,291.20084,283.95047,281.48227,278.02808
1985-02-12 12:00:00,29.500000000000004,-90.625,293.2266,293.2266,290.899,292.16586,286.6955,294.33585,293.68192,295.58017,288.64478,287.92007,288.90808,284.25684,291.0633,290.69116,293.23618,285.57886,283.0903,280.73523
1985-02-13 12:00:00,29.500000000000004,-90.625,293.19675,293.19675,289.94705,292.96213,289.56845,295.083,294.1667,291.51672,291.37192,288.29648,290.4389,283.11954,292.41504,292.95605,290.26093,290.77167,287.93738,284.31876
