date,height,lat,lon,tas,GFDL-CM4,BCC-CSM2-MR,BCC-ESM1,CESM2-WACCM,CESM2,SAM0-UNICON,CanESM5,INM-CM4-8,INM-CM5-0,GFDL-ESM4,NorESM2-LM,FGOALS-g3,FGOALS-f3-L,NorESM2-MM,CESM2-FV2,KIOST-ESM,CMCC-CM2-SR5,TaiESM1,NorCPM1,IPSL-CM5A2-INCA,CMCC-CM2-HR4,CMCC-ESM2
1985-01-18 12:00:00,2.0,29.000000000000004,-91.25,290.55447,290.55447,287.86664,288.95166,287.04358,280.54333,289.1654,291.45813,291.2602,290.59164,281.12915,288.20688,281.98492,284.19495,280.99542,289.91968,284.91843,278.41806,286.94147,283.25858,295.18646,276.31998,286.3777
1985-01-19 12:00:00,2.0,29.000000000000004,-91.25,292.03323,292.03323,285.07764,289.2697,280.74576,280.69507,290.4491,292.0683,292.61578,293.45554,282.72833,288.8762,281.65076,289.74252,282.87674,293.02713,285.9789,280.37955,289.77756,285.69592,284.524,278.67108,291.7823
1985-01-20 12:00:00,2.0,29.000000000000004,-91.25,288.96088,288.96088,280.56024,288.09897,280.42557,284.76016,288.97714,293.3172,295.2416,289.23004,274.0185,289.2976,281.3732,293.51404,285.12857,293.7354,285.41125,282.0214,291.6409,290.46994,282.21796,279.76202,285.3509
1985-01-21 12:00:00,2.0,29.000000000000004,-91.25,287.86197,287.86197,275.6766,286.80243,288.80917,290.92206,282.11148,290.36954,295.7115,291.11597,272.3126,291.06635,282.86758,289.38837,287.4066,294.05014,283.52725,285.40005,292.4098,292.71643,283.95236,275.46356,287.2657
1985-01-22 12:00:00,2.0,29.000000000000004,-91.25,287.97964,287.97964,276.52417,288.23047,284.92526,290.09262,284.00342,288.44412,294.42883,292.62036,275.96707,287.20944,282.87653,286.10675,291.50565,294.23825,282.17996,283.68988,292.0084,292.18948,286.0508,275.24533,292.68033
1985-01-23 12:00:00,2.0,29.000000000000004,-91.25,288.23135,288.23135,278.14713,288.9866,288.40292,285.46967,281.56677,290.5846,295.0597,292.07098,287.92096,285.04938,284.3813,287.2222,291.2163,292.47876,285.62662,287.73502,288.14722,291.24207,284.86133,285.2446,293.96307
1985-01-24 12:00:00,2.0,29.000000000000004,-91.25,290.5244,290.5244,280.21426,288.83084,292.7284,284.3033,285.8021,292.0827,295.62778,293.3801,286.79996,289.57468,286.63004,289.8964,290.90186,291.1586,289.9455,284.52063,288.68958,292.7547,286.5229,289.19052,295.01535
1985-01-25 12:00:00,2.0,29.000000000000004,-91.25,287.2746,287.2746,278.45685,287.19333,277.89005,282.4745,282.4054,291.54004,295.4637,291.8734,286.3837,292.10214,288.5956,292.09332,287.91507,292.03983,291.58456,286.10873,291.2435,293.84305,284.76343,289.2535,294.7693
1985-01-26 12:00:00,2.0,29.000000000000004,-91.25,283.99216,283.99216,274.58896,286.09323,277.23254,288.2865,281.80344,293.6003,291.2876,277.9154,280.64572,292.09827,286.1748,290.74026,284.11237,292.01904,286.69104,282.74612,291.18713,293.16092,288.49304,288.84048,289.15457
1985-01-27 12:00:00,2.0,29.000000000000004,-91.25,280.35825,280.35825,273.76245,286.86026,283.46228,289.30768,284.1932,293.4255,284.87347,284.07065,281.11972,292.6493,287.2504,286.5572,283.5172,294.16043,281.74008,282.70935,290.844,288.5694,291.85086,288.90723,278.12857
1985-01-28 12:00:00,2.0,29.000000000000004,-91.25,281.23944,281.23944,274.5961,289.5084,289.6068,291.8841,279.74136,291.0421,288.18384,284.86386,285.9199,292.7469,289.41626,288.4183,281.72824,293.99194,286.501,285.66177,291.32233,286.95612,290.8841,289.40964,274.1162
1985-01-29 12:00:00,2.0,29.000000000000004,-91.25,285.98642,285.98642,280.075,288.67038,291.1545,293.5355,280.4831,292.93054,291.81003,284.8014,289.2617,291.83047,290.37518,290.75568,281.8214,293.11734,284.40204,284.47565,292.2564,288.213,292.61765,291.2896,273.23654
1985-01-30 12:00:00,2.0,29.000000000000004,-91.25,285.96954,285.96954,283.0026,286.5477,290.0303,294.1582,282.9951,292.52274,293.37576,292.153,291.57303,290.4236,283.6609,293.27716,287.59366,291.43628,278.84967,282.3598,292.72678,291.72195,293.9475,292.42136,277.42178
1985-01-31 12:00:00,2.0,29.000000000000004,-91.25,288.23062,288.23062,286.9259,283.06964,292.1398,291.2456,285.9932,289.72253,295.3116,292.53,292.6369,291.8634,281.4877,294.28592,281.46323,285.6679,278.43173,285.92084,292.41885,292.72424,294.58643,292.0647,280.97675
1985-02-01 12:00:00,2.0,29.000000000000004,-91.25,290.35574,290.35574,286.24008,280.9505,293.0161,290.25986,288.6944,290.12967,291.78296,293.0107,289.30762,293.48083,286.68555,290.46753,283.89923,287.32822,284.33032,288.73972,291.1707,292.15857,293.89786,291.7939,285.09534
1985-02-02 12:00:00,2.0,29.000000000000004,-91.25,290.3979,290.3979,287.1162,282.80203,288.39252,292.02563,289.8093,289.71844,285.32892,292.813,289.95593,293.69943,289.46762,286.44287,280.71503,290.32144,284.92773,282.22736,291.14035,289.84543,293.88977,286.00836,286.7288
1985-02-03 12:00:00,2.0,29.000000000000004,-91.25,288.94305,288.94305,286.06818,284.3846,281.27695,292.25626,282.98825,293.0174,286.6254,292.092,292.4176,292.85452,285.4834,291.64832,277.75092,292.26022,288.28827,282.45822,292.90067,289.43314,293.73758,288.10257,284.50635
1985-02-04 12:00:00,2.0,29.000000000000004,-91.25,290.6196,290.6196,282.05164,286.97604,287.1203,290.1593,281.91708,293.74582,289.97922,288.48785,291.93808,293.40173,285.87436,285.15274,281.10925,292.23148,289.67688,285.97528,294.19873,290.54562,287.6375,290.81326,279.7481
1985-02-05 12:00:00,2.0,29.000000000000004,-91.25,291.72495,291.72495,283.7703,290.0163,291.74017,293.96057,285.6837,285.5435,293.27228,292.23663,292.33777,293.53775,285.24414,287.77142,284.31436,292.49817,290.49954,286.9107,294.33185,291.0581,280.5593,289.6172,276.20868
1985-02-06 12:00:00,2.0,29.000000000000004,-91.25,292.5417,292.5417,288.69458,288.58188,294.44766,292.69785,283.24155,286.5696,294.14105,292.77124,292.74585,293.5889,288.64807,283.7973,286.72803,292.58627,289.91653,287.45993,292.10992,289.60382,281.32535,289.94647,278.5835
1985-02-07 12:00:00,2.0,29.000000000000004,-91.25,292.50064,292.50064,290.34335,288.9555,294.25787,289.20612,286.9388,290.00916,294.47076,292.5626,294.1305,294.18106,283.7724,282.28403,291.30084,292.5882,290.49063,289.15192,292.1375,286.77643,280.78568,290.02353,283.12097
1985-02-08 12:00:00,2.0,29.000000000000004,-91.25,292.7116,292.7116,290.81757,289.44894,294.293,286.08017,289.2008,293.33908,294.78534,287.39258,294.51694,290.7207,277.94464,279.17804,283.89252,292.0493,291.9013,289.77725,289.02997,286.50027,282.32553,289.6086,282.63196
1985-02-09 12:00:00,2.0,29.000000000000004,-91.25,292.96524,292.96524,291.37415,288.79803,294.31238,284.69647,285.33597,293.6891,294.2107,290.7558,290.63922,292.92313,274.18124,277.34137,275.83527,292.6306,293.57043,290.40744,284.30496,279.3508,287.48306,289.8456,279.95456
1985-02-10 12:00:00,2.0,29.000000000000004,-91.25,290.5571,290.5571,287.05704,289.50946,294.41812,285.8257,286.48544,293.24506,294.1072,293.7423,292.86948,290.09714,272.88367,278.72656,278.4334,293.48035,284.56848,291.24286,281.65036,278.91418,291.70944,281.12466,279.94882
1985-02-11 12:00:00,2.0,29.000000000000004,-91.25,289.03528,289.03528,289.75345,284.6579,294.70728,287.92636,290.66946,293.02243,295.07394,288.50894,291.474,286.9422,277.07748,288.5985,286.47668,293.9695,283.5081,291.22287,283.95047,279.7955,291.55075,280.96136,273.78763
1985-02-12 12:00:00,2.0,29.000000000000004,-91.25,290.7747,290.7747,289.74146,284.34137,290.71887,291.0131,292.42026,292.76886,293.7376,287.17288,283.6896,287.35992,282.7099,288.31982,287.1358,287.6821,287.19287,290.78903,285.57886,280.7667,286.21307,274.98947,276.59073
1985-02-13 12:00:00,2.0,29.000000000000004,-91.25,291.9897,291.9897,291.75906,286.0547,280.1458,292.32605,292.84064,292.67615,289.97598,289.80777,284.98193,289.3644,276.92578,288.2407,291.82935,290.90225,287.34552,288.15237,290.77167,284.51486,286.8707,270.6551,281.3474
1985-02-14 12:00:00,2.0,29.000000000000004,-91.25,291.04233,291.04233,292.39023,289.08646,285.98254,291.52115,293.02618,293.03677,292.4655,291.30115,286.1184,290.41293,277.52744,291.16376,289.51978,293.84824,287.65146,290.31262,288.06558,290.27307,291.6378,273.95834,282.88052
1985-02-15 12:00:00,2.0,29.000000000000004,-91.25,292.69687,292.69687,292.10846,286.7008,290.08902,288.20612,292.92383,293.4911,292.18002,292.46814,287.8036,291.38205,282.51752,290.38272,282.44562,293.84012,291.85892,288.61182,288.48923,289.85864,289.642,281.06226,284.60626
1985-02-16 12:00:00,2.0,29.000000000000004,-91.25,293.3328,293.3328,282.4568,285.30704,291.84482,286.5653,292.29282,292.24756,292.15646,293.25775,289.62534,292.72714,283.83997,290.8368,286.65652,293.60968,293.20413,283.074,291.33575,288.16473,282.2116,285.9301,288.27655
1985-02-17 12:00:00,2.0,29.000000000000004,-91.25,293.66068,293.66068,277.7958,286.74817,283.20258,288.0199,291.6888,291.3067,294.6206,293.5148,290.47382,293.238,280.46152,291.22394,291.07495,293.4616,289.51337,285.20062,288.7318,289.21793,281.85614,289.09216,287.22192
1985-02-18 12:00:00,2.0,29.000000000000004,-91.25,290.68832,290.68832,279.69,290.44434,275.64868,287.10883,292.5654,292.33673,295.06244,293.92154,293.14166,293.5312,280.7718,291.24875,292.5586,293.3851,286.65756,282.62152,290.84534,290.67978,283.0996,289.47424,277.7009
